,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,0,3,19,0,4,0,1.2999999999999996,12.999999999999995,1,1,10
0,2,3,19,0,3,0,0.7000000000000004,7.0000000000000036,0,0,11
0,3,3,19,0,2,0,0.10000000000000014,1.0000000000000013,0,0,8
0,0,3,20,0,4,0,1.1999999999999995,11.999999999999995,0,0,10
0,3,3,20,1,2,0,1.3877787807814457e-16,6.000000000000001,0,1,9
0,2,3,20,0,3,0,0.6000000000000004,6.0000000000000036,0,0,11
0,1,3,20,1,2,0,1.3877787807814457e-16,6.000000000000001,0,1,9
0,3,3,21,0,3,0,0.5000000000000001,5.000000000000001,1,1,10
0,0,3,21,0,4,0,1.0999999999999994,10.999999999999993,0,0,10
0,1,3,21,0,3,0,0.5000000000000001,5.000000000000001,1,1,10
0,2,3,21,0,3,0,0.5000000000000004,5.000000000000004,0,0,11
0,0,3,22,0,4,0,0.9999999999999994,9.999999999999995,0,0,10
0,2,3,22,0,3,0,0.40000000000000047,4.000000000000004,0,0,11
0,1,3,22,0,3,0,0.40000000000000013,4.000000000000001,0,0,10
0,3,3,22,0,3,0,0.40000000000000013,4.000000000000001,0,0,10
0,0,3,23,0,4,0,0.8999999999999995,8.999999999999995,0,0,10
0,2,3,23,0,3,0,0.3000000000000005,3.000000000000005,0,0,11
0,1,3,23,0,3,0,0.30000000000000016,3.0000000000000013,0,0,10
0,3,3,23,0,3,0,0.30000000000000016,3.0000000000000013,0,0,10
0,2,3,24,1,3,0,0.20000000000000048,8.000000000000004,0,1,11
0,3,3,24,1,3,0,0.20000000000000015,8.000000000000002,0,1,10
0,0,3,24,1,4,0,0.7999999999999995,13.999999999999995,0,1,10
0,1,3,24,0,3,0,0.20000000000000015,2.0000000000000013,0,0,11
0,2,3,25,1,3,0,0.10000000000000048,7.0000000000000036,4,-0.2,12
0,3,3,25,0,4,0,0.7000000000000002,7.000000000000002,1,1,10
0,0,3,25,0,5,0,1.2999999999999994,12.999999999999993,1,1,10
0,1,3,25,0,3,0,0.10000000000000014,1.0000000000000013,0,0,11
0,3,3,26,0,4,0,0.6000000000000002,6.000000000000002,0,0,10
0,0,3,26,0,5,0,1.1999999999999993,11.999999999999993,0,0,10
0,2,3,26,1,3,0,4.718447854656915e-16,6.0000000000000036,4,-0.2,12
0,1,3,26,1,3,0,1.3877787807814457e-16,6.000000000000001,0,1,11
0,0,3,27,1,5,0,1.0999999999999992,16.999999999999993,0,1,10
0,3,3,27,0,4,0,0.5000000000000002,5.000000000000002,0,0,10
0,1,3,27,0,4,0,0.5000000000000001,5.000000000000001,1,1,11
0,2,3,27,0,4,0,0.5000000000000004,5.000000000000004,1,1,12
0,3,3,28,0,4,0,0.40000000000000024,4.000000000000002,0,0,11
0,1,3,28,0,4,0,0.40000000000000013,4.000000000000001,0,0,11
0,2,3,28,0,4,0,0.40000000000000047,4.000000000000004,0,0,13
0,0,3,28,0,6,0,1.5999999999999992,15.999999999999991,1,1,10
0,2,3,29,1,4,0,0.3000000000000005,9.000000000000004,0,1,14
0,0,3,29,0,6,0,1.4999999999999991,14.999999999999991,0,0,10
0,1,3,29,0,4,0,0.30000000000000016,3.0000000000000013,0,0,11
0,3,3,29,1,4,0,0.30000000000000027,9.000000000000002,0,1,11
0,1,3,30,1,4,0,0.20000000000000015,8.000000000000002,0,1,11
0,3,3,30,0,5,0,0.8000000000000003,8.000000000000002,1,1,11
0,0,3,30,0,6,0,1.399999999999999,13.99999999999999,0,0,10
0,2,3,30,0,5,0,0.8000000000000005,8.000000000000004,1,1,15
0,2,3,31,0,5,0,0.7000000000000005,7.000000000000004,0,0,15
0,0,3,31,1,6,0,1.299999999999999,18.99999999999999,0,1,10
0,1,3,31,1,4,0,0.10000000000000014,7.000000000000002,0,0,12
0,3,3,31,0,5,0,0.7000000000000003,7.000000000000003,3,-0.2,12
0,0,3,32,0,7,0,1.799999999999999,17.99999999999999,1,1,10
0,3,3,32,0,5,0,0.6000000000000003,6.000000000000003,0,0,12
0,2,3,32,0,5,0,0.6000000000000005,6.000000000000005,0,0,15
0,1,3,32,1,4,0,1.3877787807814457e-16,6.000000000000001,3,-0.2,13
0,2,3,33,0,5,0,0.5000000000000006,5.000000000000005,0,0,15
0,0,3,33,0,7,0,1.6999999999999988,16.999999999999986,0,0,10
0,1,3,33,0,5,0,0.5000000000000001,5.000000000000001,1,1,13
0,3,3,33,1,5,0,0.5000000000000003,11.000000000000002,0,1,12
0,0,3,34,0,7,0,1.5999999999999988,15.999999999999988,0,0,10
0,3,3,34,1,5,0,0.40000000000000036,10.000000000000004,3,-0.2,13
0,2,3,34,1,5,0,0.4000000000000006,10.000000000000004,0,1,16
0,1,3,34,0,5,0,0.40000000000000013,4.000000000000001,0,0,14
0,1,3,35,0,5,0,0.30000000000000016,3.0000000000000013,0,0,14
0,0,3,35,1,7,0,1.4999999999999987,20.999999999999986,0,1,11
0,3,3,35,0,6,0,0.9000000000000005,9.000000000000004,1,1,14
0,2,3,35,0,6,0,0.9000000000000005,9.000000000000004,1,1,16
0,3,3,36,0,6,0,0.8000000000000005,8.000000000000004,0,0,15
0,2,3,36,0,6,0,0.8000000000000005,8.000000000000004,0,0,17
0,1,3,36,0,5,0,0.20000000000000015,2.0000000000000013,0,0,14
0,0,3,36,0,8,0,1.9999999999999987,19.999999999999986,1,1,11
0,1,3,37,0,5,0,0.10000000000000014,1.0000000000000013,0,0,14
0,3,3,37,0,6,0,0.7000000000000005,7.000000000000004,0,0,15
0,0,3,37,1,8,0,1.8999999999999986,24.999999999999986,0,1,11
0,2,3,37,0,6,0,0.7000000000000005,7.000000000000004,0,0,17
0,2,3,38,0,6,0,0.6000000000000005,6.000000000000005,0,0,17
0,3,3,38,0,6,0,0.6000000000000005,6.000000000000005,0,0,15
0,0,3,38,0,9,0,2.3999999999999986,23.999999999999986,1,1,11
0,1,3,38,0,5,0,1.3877787807814457e-16,1.3877787807814457e-15,0,0,14
0,1,3,39,1,5,0,0,5.000000000000001,0,0,14
0,3,4,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,2,4,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,4,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,4,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,4,2,0,0,0,0.6000000000000001,6.000000000000001,3,-0.2,2
0,2,4,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,4,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,0,4,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,0,4,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,1,4,3,0,0,0,0.5000000000000001,5.000000000000001,3,-0.2,2
0,2,4,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,3,4,3,1,0,0,0.5000000000000001,11.0,0,1,1
0,0,4,4,1,0,0,0.40000000000000013,10.0,0,1,2
0,3,4,4,0,1,0,1.0,10.0,1,1,2
0,1,4,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,2,4,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,2
0,1,4,5,0,0,0,0.30000000000000016,3.0000000000000013,0,0,4
