,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
15312,0,90,45,1,7,1,0.500000000000001,11.000000000000009,0,0.8,23,8
15313,1,90,45,0,6,0,0.0,0.0,4,-1.1,21,6
15512,3,91,50,0,10,4,1.7999999999999967,17.999999999999964,0,1.0,29,10
15513,0,91,50,1,8,7,0.6000000000000005,12.000000000000004,0,2.2,21,9
15712,0,92,50,0,7,2,6.938893903907228e-16,6.9388939039072276e-15,4,0.9,25,7
15713,2,92,50,0,10,1,1.7999999999999967,17.999999999999964,1,0.9,27,10
15912,2,93,50,0,11,0,2.3999999999999977,23.99999999999997,0,1.0,22,11
15913,3,93,50,0,10,2,1.7999999999999985,17.999999999999982,1,1.4,18,10
16112,0,94,50,0,8,3,0.600000000000001,6.00000000000001,0,1.0,25,8
16113,1,94,50,0,9,0,1.199999999999998,11.99999999999998,0,1.0,23,9
16312,2,95,50,1,8,0,0.5999999999999975,11.999999999999975,0,1.8,20,9
16313,1,95,50,0,10,0,1.7999999999999976,17.999999999999975,1,0.9,22,10
16512,3,96,50,0,14,1,4.1999999999999975,41.99999999999997,1,1.4,15,14
16513,0,96,50,0,8,5,0.6000000000000006,6.000000000000006,4,0.9,32,8
16547,1,97,9,1,1,0,0.5000000000000001,11.0,0,0.8,6,2
16548,0,97,9,1,0,1,0.0,5.000000000000001,0,0.2,6,1
16581,0,98,9,0,2,1,1.1,11.0,1,0.4,8,2
16582,1,98,9,0,0,0,0.0,0.0,4,-1.1,8,0
16638,0,99,14,0,2,0,0.6000000000000002,6.000000000000002,1,0.4,12,2
16639,1,99,15,0,1,0,0.0,0.0,3,-1.1,12,1
16838,1,100,50,0,10,0,1.7999999999999985,17.999999999999982,1,1.4,23,10
16839,3,100,50,0,10,0,1.7999999999999985,17.999999999999982,0,1.0,24,10
17038,1,101,50,0,9,0,1.199999999999999,11.99999999999999,4,0.9,34,9
17039,3,101,50,0,11,2,2.399999999999997,23.999999999999968,3,0.9,24,11
17238,3,102,50,0,10,1,1.799999999999998,17.99999999999998,0,1.0,21,10
17239,2,102,50,0,10,1,1.799999999999998,17.99999999999998,0,1.0,26,10
17368,0,103,33,0,5,4,0.5000000000000001,5.000000000000001,1,-0.1,23,5
17369,2,103,33,0,4,1,0.0,0.0,0,-1.0,22,4
17568,0,104,50,0,8,4,0.6000000000000009,6.000000000000008,0,1.0,23,8
17569,2,104,50,1,10,0,1.7999999999999967,23.999999999999968,0,1.8,23,11
17669,1,105,25,0,3,1,0.0999999999999998,0.999999999999998,0,0.0,15,3
17670,1,105,26,0,3,1,0.0,0.0,0,-1.0,16,3
17869,2,106,50,0,10,1,1.799999999999998,17.99999999999998,3,0.9,24,10
17870,3,106,50,0,10,2,1.7999999999999976,17.999999999999975,0,1.0,33,10
18069,1,107,50,0,9,0,1.199999999999997,11.99999999999997,4,0.9,24,9
18070,2,107,50,0,10,1,1.7999999999999976,17.999999999999975,1,0.9,20,10
18269,2,108,50,0,10,0,1.7999999999999976,17.999999999999975,4,0.9,22,10
18270,0,108,50,0,8,4,0.600000000000001,6.00000000000001,0,1.0,22,8
18469,1,109,50,0,10,0,1.7999999999999985,17.999999999999982,1,0.9,24,10
18470,3,109,50,0,11,1,2.399999999999997,23.999999999999968,1,0.9,26,11
18669,0,110,50,0,8,2,0.600000000000001,6.00000000000001,0,1.0,23,8
18670,1,110,50,0,7,0,2.775557561562892e-17,2.7755575615628914e-16,0,1.0,22,7
18869,0,111,50,0,7,3,1.0269562977782698e-15,1.0269562977782698e-14,0,1.0,26,7
18870,1,111,50,0,12,0,2.999999999999997,29.999999999999968,0,1.0,26,12
19069,2,112,50,1,10,1,1.7999999999999972,23.99999999999997,0,1.8,23,11
19070,0,112,50,0,8,2,0.6000000000000011,6.000000000000011,4,1.1,18,8
19269,2,113,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,27,11
19270,0,113,50,1,8,3,0.6000000000000012,12.00000000000001,0,2.2,25,9
19395,0,114,32,1,5,2,0.6000000000000005,12.000000000000004,0,0.8,21,6
19396,1,114,32,1,4,0,0.0,5.999999999999993,0,0.2,19,5
19500,2,115,26,0,6,0,1.799999999999999,17.99999999999999,0,0.0,11,6
19501,0,115,27,1,3,2,0.0,5.000000000000004,0,-1.0,20,4
19700,1,116,50,0,9,0,1.199999999999999,11.99999999999999,1,0.9,26,9
19701,0,116,50,0,8,5,0.600000000000001,6.00000000000001,4,1.1,26,8
19900,0,117,50,1,8,5,0.6000000000000009,12.000000000000009,0,2.2,24,9
19901,3,117,50,0,11,2,2.399999999999998,23.99999999999998,3,0.9,27,11
20100,2,118,50,1,10,1,1.7999999999999972,23.99999999999997,0,1.8,23,11
20101,0,118,50,0,8,5,0.6000000000000012,6.000000000000012,0,1.0,23,8
20300,2,119,50,1,10,0,1.7999999999999972,23.99999999999997,0,1.8,25,11
20301,3,119,50,0,10,2,1.7999999999999967,17.999999999999964,1,0.9,27,10
20500,3,120,50,0,11,1,2.399999999999998,23.99999999999998,1,1.4,22,11
20501,1,120,50,0,10,1,1.7999999999999976,17.999999999999975,1,1.4,21,10
20700,2,121,50,0,10,2,1.7999999999999972,17.99999999999997,3,1.1,29,10
20701,3,121,50,0,11,2,2.3999999999999977,23.99999999999997,1,1.4,26,11
20900,0,122,50,1,8,2,0.6000000000000005,12.000000000000004,0,1.8,23,9
20901,3,122,50,0,10,0,1.7999999999999967,17.999999999999964,0,1.0,27,10
21054,2,123,39,0,8,0,1.699999999999998,16.99999999999998,3,-0.1,13,8
21055,0,123,39,0,5,3,0.0,0.0,4,-1.1,18,5
21254,1,124,50,0,8,0,0.6000000000000006,6.000000000000006,1,0.9,31,8
21255,0,124,50,0,9,2,1.2000000000000006,12.000000000000004,0,1.0,34,9
21454,1,125,50,0,10,0,1.7999999999999976,17.999999999999975,1,1.4,24,10
21455,2,125,50,0,10,0,1.799999999999998,17.99999999999998,0,1.0,18,10
21654,0,126,50,1,8,4,0.6000000000000008,12.000000000000004,0,2.2,21,9
21655,2,126,50,1,10,0,1.7999999999999976,23.99999999999997,0,1.8,25,11
21854,1,127,50,0,15,1,4.799999999999999,47.99999999999999,1,1.4,21,15
21855,3,127,50,0,9,5,1.1999999999999966,11.999999999999966,0,1.0,33,9
22009,2,128,39,0,6,1,0.4999999999999998,4.999999999999997,1,-0.1,25,6
22010,0,128,39,1,5,4,0.0,5.000000000000003,0,0.2,28,6
22134,1,129,31,0,4,1,0.0999999999999993,0.9999999999999936,0,0.0,19,4
22135,1,129,32,1,4,1,0.0,5.999999999999993,0,0.2,19,5
22308,2,130,44,0,9,0,1.7999999999999976,17.999999999999975,0,0.0,21,9
22309,1,130,44,0,6,2,0.0,0.0,0,-1.0,23,6
22508,0,131,50,0,8,2,0.6000000000000006,6.000000000000006,1,1.8,22,8
22509,1,131,50,1,9,1,1.199999999999997,17.99999999999997,0,1.8,31,10
22708,3,132,50,0,10,2,1.7999999999999976,17.999999999999975,1,0.9,23,10
22709,1,132,50,0,10,1,1.7999999999999985,17.999999999999982,0,1.0,19,10
22908,3,133,50,0,9,5,1.1999999999999975,11.999999999999975,0,1.0,22,9
22909,1,133,50,0,10,0,1.7999999999999972,17.99999999999997,1,0.9,18,10
23108,1,134,50,0,9,0,1.1999999999999975,11.999999999999975,4,0.9,26,9
23109,3,134,50,1,9,1,1.199999999999997,17.99999999999997,0,1.8,27,10
23308,0,135,50,1,8,4,0.6000000000000009,12.000000000000009,0,2.2,19,9
23309,1,135,50,0,11,0,2.399999999999997,23.99999999999997,1,0.9,26,11
