agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
0,113,9,3,1,0,0.5000000000000001,23.0,2,1.0,4,4
1,113,9,1,0,0,0.0,5.000000000000001,2,-1.2,3,1
0,114,31,0,4,3,0.0999999999999998,0.999999999999998,0,0.0,16,4
0,114,32,0,4,3,0.0,0.0,2,-1.0,16,4
0,115,39,0,9,5,2.2999999999999985,22.999999999999982,4,-0.2,14,9
1,115,39,0,5,0,0.0,0.0,3,-1.2,4,5
0,116,50,1,10,8,1.799999999999998,23.99999999999998,2,1.0,10,11
1,116,50,0,8,0,0.6000000000000008,6.000000000000007,2,0.8,6,8
0,117,8,3,2,0,1.1999999999999995,29.999999999999996,5,1.0,5,5
1,117,9,0,0,0,0.0,0.0,2,-1.2,4,0
1,118,14,0,1,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,5,1
1,118,15,0,1,0,0.0,0.0,2,-1.2,5,1
0,119,15,4,5,1,2.3,46.99999999999999,2,1.0,10,9
1,119,15,1,1,0,0.0,5.000000000000001,0,-1.0,5,2
0,120,8,0,2,0,1.1999999999999995,11.999999999999996,5,1.0,3,2
1,120,9,0,0,0,0.0,0.0,5,-1.2,3,0
0,121,39,0,7,5,1.0999999999999983,10.999999999999982,4,-0.2,16,7
1,121,39,0,5,0,0.0,0.0,2,-1.0,5,5
0,122,8,1,0,1,1.3877787807814454e-16,6.000000000000001,1,0.0,5,1
0,122,9,2,0,1,0.0,11.0,0,0.0,5,2
0,123,9,1,3,0,1.6999999999999995,23.0,0,1.0,6,4
1,123,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,124,8,1,3,0,1.7999999999999998,24.0,5,1.0,5,4
1,124,9,2,0,0,0.0,11.0,0,-1.0,3,2
1,125,14,0,1,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,3,1
1,125,15,0,1,0,0.0,0.0,2,-1.2,3,1
1,126,50,0,9,0,1.1999999999999988,11.999999999999988,0,1.0,7,9
0,126,50,0,14,7,4.1999999999999975,41.99999999999997,5,2.0,24,14
0,127,9,3,2,0,1.1,29.0,5,1.0,6,5
1,127,9,0,0,0,0.0,0.0,2,-1.0,3,0
0,128,9,0,2,0,1.1,10.999999999999998,5,-0.2,6,2
1,128,9,0,0,0,0.0,0.0,5,-1.2,3,0
0,129,9,1,1,0,0.5000000000000001,11.0,5,1.0,4,2
1,129,9,0,0,0,0.0,0.0,2,-1.2,2,0
0,130,15,1,4,1,1.6999999999999993,22.999999999999996,2,1.0,9,5
1,130,15,1,1,0,0.0,5.000000000000001,0,-1.0,3,2
0,131,9,1,2,0,1.1,17.0,5,1.0,6,3
1,131,9,0,0,0,0.0,0.0,2,-1.2,3,0
1,132,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,4,0
1,132,9,0,0,0,0.0,0.0,2,-1.2,4,0
0,133,14,0,1,1,1.3877787807814454e-16,1.3877787807814457e-15,0,-0.2,5,1
0,133,15,0,1,1,0.0,0.0,4,-1.2,5,1
0,134,14,0,1,1,1.3877787807814454e-16,1.3877787807814457e-15,4,-0.2,4,1
0,134,15,1,1,1,0.0,5.000000000000001,2,0.0,5,2
0,135,50,1,14,7,4.1999999999999975,47.99999999999997,5,3.0,17,15
1,135,50,0,8,0,0.6000000000000002,6.000000000000002,0,0.8,7,8
0,136,8,1,0,0,1.3877787807814454e-16,6.000000000000001,3,0.0,3,1
